institution,state,2021_22_tuitionfee_in,2021_22_tuitionfee_out,2021_22_undergrad_enrollment,2022_23_tuitionfee_in,2022_23_tuitionfee_out,2022_23_undergrad_enrollment,2023_24_tuitionfee_in,2023_24_tuitionfee_out,2023_24_undergrad_enrollment
Strayer University-Newport News Campus,VA,13515,13515,NA,13515,13515,NA,13920,13920,NA
Strayer University-Virginia Beach Campus,VA,13515,13515,NA,13515,13515,NA,13920,13920,NA
ECPI University-Newport News,VA,17479,17479,NA,18484,18484,NA,18484,18484,NA
ECPI University-Manassas,VA,17959,17959,NA,18964,18964,NA,18964,18964,NA
ECPI University-Culinary Institute of Virginia,VA,17479,17479,NA,18484,18484,NA,18484,18484,NA
ECPI University-Virginia Beach Health Sciences,VA,17479,17479,NA,18484,18484,NA,18484,18484,NA
ECPI University-Richmond South,VA,17479,17479,NA,18484,18484,NA,18484,18484,NA
ECPI University-Innsbrook,VA,17479,17479,NA,18484,18484,NA,18484,18484,NA
ECPI University-Richmond West,VA,17479,17479,NA,18484,18484,NA,18484,18484,NA
ECPI University - Roanoke,VA,17479,17479,NA,18484,18484,NA,18484,18484,NA
ECPI University - Culinary Institute of Virginia - Newport News,VA,17479,17479,NA,NA,NA,NA,NA,NA,NA
Strayer University-Rockville Campus,MD,13515,13515,NA,13515,13515,NA,13920,13920,NA
Strayer University-Anne Arundel Campus,MD,13515,13515,NA,13515,13515,NA,13920,13920,NA
Strayer University-White Marsh Campus,MD,13515,13515,NA,13515,13515,NA,13920,13920,NA
Strayer University-Owings Mills Campus,MD,13515,13515,NA,NA,NA,NA,NA,NA,NA
Aveda Arts & Sciences Institute Lafayette-Arlington,NA,NA,NA,NA,NA,NA,185,NA,NA,211
Montgomery Beauty School-Baltimore Beauty & Barber School,NA,NA,NA,NA,NA,NA,209,NA,NA,252
Galen Health Institutes-Richmond,NA,NA,NA,NA,39230,39230,212,15860,15860,374
Arizona College of Nursing-Falls Church,NA,NA,NA,NA,22826,22826,144,23760,23760,284
Tidewater Tech - Priority Automotive Tidewater Tech Learning Center,NA,NA,NA,NA,16337,16337,NA,16337,16337,NA
Chrysm Institute of Esthetics (The) - Hampton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Medical Solutions Academy,NA,NA,NA,NA,NA,NA,NA,14115,14115,106
Jazz Barber and Hairstyling Academy,NA,NA,NA,NA,NA,NA,NA,NA,NA,36
Baltimore Beauty & Barber School II,NA,NA,NA,NA,NA,NA,NA,NA,NA,65
Galen Health Institutes-Roanoke,NA,NA,NA,NA,NA,NA,NA,15860,15860,173
